valor,tipo,data,categoria,descricao
-7878.83,1,"""2025-05-27T21:38:32.093533Z""","""Pagamento""","""Referente ao mês"""
2024.13,2,"""2025-03-25T21:38:32.093576Z""","""Salário""","""Recebido de cliente"""
5990.47,2,"""2025-03-29T21:38:32.093612Z""","""Transferência""","""Pagamento de serviço"""
5742.36,2,"""2025-04-19T21:38:32.093630Z""","""Pagamento""","""Referente ao mês"""
7613.17,2,"""2025-04-17T21:38:32.093646Z""","""Investimento""","""Compra de material"""
-1191.18,1,"""2025-03-24T21:38:32.093660Z""","""Venda""","""Recebido de cliente"""
-5466.8,1,"""2025-05-23T21:38:32.093676Z""","""Compra""","""Despesa operacional"""
662.22,2,"""2025-04-24T21:38:32.093695Z""","""Pagamento""","""Despesa operacional"""
2340.88,2,"""2025-03-10T21:38:32.093712Z""","""Reembolso""","""Recebido de cliente"""
9968.45,2,"""2025-03-17T21:38:32.093737Z""","""Salário""","""Despesa operacional"""
321.46,2,"""2025-05-01T21:38:32.093752Z""","""Serviço""","""Transferência bancária"""
-8754.78,1,"""2025-03-17T21:38:32.093767Z""","""Serviço""","""Recebido de cliente"""
-6206.9,1,"""2025-04-24T21:38:32.093781Z""","""Investimento""","""Recebido de cliente"""
-1850.13,1,"""2025-03-22T21:38:32.093795Z""","""Compra""","""Despesa operacional"""
-2794.95,1,"""2025-05-15T21:38:32.093809Z""","""Pagamento""","""Despesa operacional"""
4940.38,2,"""2025-04-30T21:38:32.093823Z""","""Investimento""","""Recebido de cliente"""
-3749.69,1,"""2025-04-17T21:38:32.093837Z""","""Venda""","""Recebido de cliente"""
-8036.11,1,"""2025-05-15T21:38:32.093851Z""","""Investimento""","""Pagamento de serviço"""
-319.07,1,"""2025-04-24T21:38:32.093865Z""","""Reembolso""","""Recebido de cliente"""
9243.25,2,"""2025-05-15T21:38:32.093883Z""","""Salário""","""Pagamento de serviço"""
106.82,2,"""2025-03-17T21:38:32.093899Z""","""Investimento""","""Recebido de cliente"""
4288.64,2,"""2025-05-24T21:38:32.093916Z""","""Investimento""","""Recebido de cliente"""
1058.87,2,"""2025-05-26T21:38:32.093933Z""","""Compra""","""Transferência bancária"""
-3502.2,1,"""2025-05-25T21:38:32.093948Z""","""Serviço""","""Referente ao mês"""
566.36,2,"""2025-04-17T21:38:32.093962Z""","""Serviço""","""Recebido de cliente"""
566.92,2,"""2025-03-31T21:38:32.093976Z""","""Pagamento""","""Referente ao mês"""
6444.07,2,"""2025-04-30T21:38:32.093990Z""","""Compra""","""Recebido de cliente"""
-9933.19,1,"""2025-03-26T21:38:32.094003Z""","""Investimento""","""Pagamento de serviço"""
-8442.0,1,"""2025-05-26T21:38:32.094018Z""","""Salário""","""Transferência bancária"""
7984.36,2,"""2025-03-26T21:38:32.094041Z""","""Transferência""","""Referente ao mês"""
-8784.47,1,"""2025-04-04T21:38:32.094055Z""","""Investimento""","""Referente ao mês"""
-7574.18,1,"""2025-03-29T21:38:32.094069Z""","""Serviço""","""Referente ao mês"""
3328.61,2,"""2025-04-02T21:38:32.094083Z""","""Investimento""","""Recebido de cliente"""
4503.27,2,"""2025-04-23T21:38:32.094097Z""","""Reembolso""","""Compra de material"""
4829.6,2,"""2025-03-06T21:38:32.094111Z""","""Reembolso""","""Transferência bancária"""
-7961.54,1,"""2025-04-03T21:38:32.094125Z""","""Pagamento""","""Referente ao mês"""
8047.15,2,"""2025-04-02T21:38:32.094139Z""","""Venda""","""Pagamento de serviço"""
-7435.78,1,"""2025-05-24T21:38:32.094153Z""","""Serviço""","""Referente ao mês"""
-385.53,1,"""2025-04-27T21:38:32.094167Z""","""Salário""","""Recebido de cliente"""
-5382.21,1,"""2025-05-19T21:38:32.094181Z""","""Salário""","""Despesa operacional"""
5467.67,2,"""2025-04-02T21:38:32.094197Z""","""Serviço""","""Recebido de cliente"""
-8063.43,1,"""2025-03-17T21:38:32.094213Z""","""Investimento""","""Referente ao mês"""
-9413.21,1,"""2025-03-12T21:38:32.094229Z""","""Investimento""","""Referente ao mês"""
6050.21,2,"""2025-03-09T21:38:32.094247Z""","""Salário""","""Despesa operacional"""
7009.71,2,"""2025-04-30T21:38:32.094262Z""","""Salário""","""Transferência bancária"""
956.26,2,"""2025-04-02T21:38:32.094381Z""","""Compra""","""Referente ao mês"""
2381.27,2,"""2025-05-03T21:38:32.094395Z""","""Reembolso""","""Transferência bancária"""
-5656.13,1,"""2025-05-14T21:38:32.094409Z""","""Pagamento""","""Referente ao mês"""
-7845.11,1,"""2025-04-27T21:38:32.094423Z""","""Compra""","""Transferência bancária"""
-2915.01,1,"""2025-05-07T21:38:32.094436Z""","""Transferência""","""Pagamento de serviço"""
-3167.66,1,"""2025-05-08T21:38:32.094450Z""","""Transferência""","""Transferência bancária"""
4165.96,2,"""2025-03-25T21:38:32.094464Z""","""Investimento""","""Compra de material"""
-7301.94,1,"""2025-04-18T21:38:32.094478Z""","""Compra""","""Transferência bancária"""
-7318.9,1,"""2025-04-12T21:38:32.094491Z""","""Serviço""","""Despesa operacional"""
-4665.75,1,"""2025-03-18T21:38:32.094505Z""","""Venda""","""Referente ao mês"""
8472.82,2,"""2025-05-20T21:38:32.094522Z""","""Salário""","""Pagamento de serviço"""
-4472.38,1,"""2025-05-15T21:38:32.094539Z""","""Reembolso""","""Despesa operacional"""
6063.76,2,"""2025-03-30T21:38:32.094555Z""","""Reembolso""","""Pagamento de serviço"""
-1352.05,1,"""2025-05-09T21:38:32.094571Z""","""Reembolso""","""Compra de material"""
131.95,2,"""2025-05-27T21:38:32.094597Z""","""Investimento""","""Despesa operacional"""
-5509.19,1,"""2025-05-10T21:38:32.094611Z""","""Serviço""","""Referente ao mês"""
-1197.43,1,"""2025-04-30T21:38:32.094626Z""","""Transferência""","""Despesa operacional"""
-5555.83,1,"""2025-03-09T21:38:32.094639Z""","""Salário""","""Despesa operacional"""
8380.71,2,"""2025-03-09T21:38:32.094653Z""","""Reembolso""","""Despesa operacional"""
961.39,2,"""2025-05-21T21:38:32.094667Z""","""Salário""","""Compra de material"""
6644.76,2,"""2025-05-30T21:38:32.094681Z""","""Salário""","""Pagamento de serviço"""
3633.73,2,"""2025-04-01T21:38:32.094695Z""","""Reembolso""","""Referente ao mês"""
-3502.5,1,"""2025-03-27T21:38:32.094709Z""","""Pagamento""","""Transferência bancária"""
-261.22,1,"""2025-03-22T21:38:32.094723Z""","""Serviço""","""Compra de material"""
4774.39,2,"""2025-05-26T21:38:32.094737Z""","""Reembolso""","""Transferência bancária"""
-5964.76,1,"""2025-03-12T21:38:32.094750Z""","""Salário""","""Referente ao mês"""
-5973.28,1,"""2025-05-04T21:38:32.094763Z""","""Pagamento""","""Recebido de cliente"""
-237.9,1,"""2025-05-27T21:38:32.094776Z""","""Investimento""","""Referente ao mês"""
6146.64,2,"""2025-04-20T21:38:32.094790Z""","""Salário""","""Compra de material"""
-2471.9,1,"""2025-05-16T21:38:32.094804Z""","""Reembolso""","""Recebido de cliente"""
4629.39,2,"""2025-03-30T21:38:32.094817Z""","""Compra""","""Despesa operacional"""
-2265.66,1,"""2025-05-20T21:38:32.094843Z""","""Compra""","""Pagamento de serviço"""
